City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,jiagedaqi,50.4167,124.1167,253.82,62,1,1.8,CN,1702358247
1,new norfolk,-42.7826,147.0587,295.87,29,87,2.79,AU,1702358248
2,piti village,13.4626,144.6933,303.88,76,75,5.14,GU,1702358248
3,isafjordur,66.0755,-23.124,268.06,79,34,3.0,IS,1702358248
4,ushuaia,-54.8,-68.3,281.96,57,0,1.54,AR,1702358249
5,avarua,-21.2078,-159.775,298.18,83,100,9.26,CK,1702358249
6,invercargill,-46.4,168.35,283.29,70,91,8.16,NZ,1702358250
7,aasiaat,68.7098,-52.8699,270.3,92,100,1.28,GL,1702358250
8,vicuna,-30.0319,-70.7081,284.0,63,0,0.98,CL,1702358142
9,lebu,-37.6167,-73.65,285.27,93,97,5.74,CL,1702358251
10,west island,-12.1568,96.8225,302.14,65,75,4.63,CC,1702358251
11,papatowai,-46.5619,169.4708,283.24,68,82,9.16,NZ,1702358251
12,lorengau,-2.0226,147.2712,302.69,76,89,6.92,PG,1702358252
13,nar'yan-mar,67.6713,53.087,258.93,92,100,6.92,RU,1702358252
14,wailua homesteads,22.0669,-159.378,296.9,88,40,3.6,US,1702358252
15,bilibino,68.0546,166.4372,252.89,94,100,1.42,RU,1702358253
16,ilulissat,69.2167,-51.1,275.16,69,100,5.66,GL,1702358253
17,i-n-salah,27.1935,2.4607,286.64,38,41,5.35,DZ,1702358254
18,gbarnga,6.9956,-9.4722,293.93,94,12,0.52,LR,1702358254
19,port-aux-francais,-49.35,70.2167,279.13,94,100,7.95,TF,1702358254
20,alofi,-19.0595,-169.9187,300.09,74,75,2.06,NU,1702358255
21,hawaiian paradise park,19.5933,-154.9731,295.39,96,75,1.54,US,1702358255
22,grytviken,-54.2811,-36.5092,274.25,79,8,1.01,GS,1702358255
23,northam,51.0333,-4.2167,283.92,95,53,6.73,GB,1702358256
24,bati,11.1833,40.0167,291.07,41,53,0.91,ET,1702358256
25,bodo,67.28,14.405,269.14,75,0,10.29,NO,1702358256
26,stanley,54.868,-1.6985,279.13,96,40,2.57,GB,1702358257
27,saddiqabad,28.3062,70.1307,295.4,15,7,1.78,PK,1702358257
28,waitangi,-43.9535,-176.5597,287.49,94,100,2.24,NZ,1702358258
29,khandyga,62.6667,135.6,239.95,97,100,0.56,RU,1702358258
30,talnakh,69.4865,88.3972,247.52,98,100,4.73,RU,1702358259
31,puerto baquerizo moreno,-0.9,-89.6,297.12,88,46,3.83,EC,1702358259
32,kavaratti,10.5669,72.642,301.85,66,85,1.05,IN,1702358259
33,palmas,-10.2128,-48.3603,297.08,94,0,1.54,BR,1702358260
34,edinburgh of the seven seas,-37.0676,-12.3116,287.56,93,100,9.74,SH,1702358260
35,sitka,57.0531,-135.33,281.09,66,100,8.75,US,1702358260
36,roma,43.2128,-75.4557,274.24,74,100,4.12,US,1702358261
37,kerikeri,-35.2268,173.9474,292.54,68,1,2.24,NZ,1702358261
38,emporia,38.4039,-96.1817,275.26,60,0,2.06,US,1702358261
39,malindi,-3.2175,40.1191,299.98,81,100,0.94,KE,1702358262
40,cadale,2.7603,46.3222,300.8,76,75,7.94,SO,1702358262
41,ji'an,27.1172,114.9793,282.99,79,100,3.15,CN,1702358262
42,katsuura,35.1333,140.3,286.16,91,100,4.25,JP,1702358262
43,yokadouma,3.5167,15.05,293.04,55,100,1.24,CM,1702358263
44,kailua-kona,19.6406,-155.9956,300.13,90,40,3.09,US,1702358140
45,antsohihy,-14.8796,47.9875,301.84,68,22,1.22,MG,1702358263
46,san antonio de pale,-1.4014,5.6325,299.53,83,98,1.79,GQ,1702358264
47,galle,6.0367,80.217,300.39,79,99,1.74,LK,1702358264
48,bethel,41.3712,-73.414,275.1,65,40,1.54,US,1702358264
49,stavern,59.0,10.0333,271.55,90,90,6.53,NO,1702358265
50,halifax,44.6453,-63.5724,279.15,88,100,4.92,CA,1702358260
51,puerto ayora,-0.7393,-90.3518,297.1,88,11,2.54,EC,1702358265
52,georgetown,5.4112,100.3354,304.12,74,40,3.09,MY,1702358265
53,longyearbyen,78.2186,15.6401,264.06,62,40,6.69,SJ,1702358093
54,college,64.8569,-147.8028,263.33,83,100,2.57,US,1702358266
55,pyt-yakh,60.7499,72.8582,245.7,89,98,3.04,RU,1702358266
56,shenjiamen,29.9576,122.298,282.21,75,100,9.8,CN,1702358267
57,al qadarif,14.0349,35.3834,297.63,30,17,3.78,SD,1702358267
58,whitehorse,60.7161,-135.0538,276.58,60,75,10.29,CA,1702358142
59,vernon,50.2581,-119.2691,275.24,91,64,1.03,CA,1702358267
60,gebre guracha,9.8,38.4,287.21,48,68,0.65,ET,1702358268
61,ishqoshim,36.7248,71.6133,270.86,82,97,2.1,TJ,1702358268
62,nikolayevsk-on-amure,53.1406,140.73,252.76,78,4,2.44,RU,1702358268
63,abdanan,32.9926,47.4198,288.94,44,100,1.69,IR,1702358268
64,adamstown,-25.066,-130.1015,294.76,65,73,1.45,PN,1702358269
65,callao,-12.0667,-77.15,294.1,77,20,4.12,PE,1702358269
66,vilyuchinsk,52.9306,158.4028,265.3,81,49,2.68,RU,1702358269
67,beboto,8.2668,16.939,291.12,29,91,2.19,TD,1702358270
68,hamilton,39.1834,-84.5333,273.69,83,0,3.09,US,1702358270
69,arta,39.1606,20.9853,282.95,85,42,2.01,GR,1702358271
70,sur,22.5667,59.5289,297.87,51,3,1.01,OM,1702358271
71,champerico,14.3,-91.9167,299.96,70,57,1.85,GT,1702358271
72,badger,64.8,-147.5333,263.29,85,100,2.57,US,1702358271
73,port blair,11.6667,92.75,302.05,71,97,5.02,IN,1702358272
74,sirte,31.2089,16.5887,290.86,73,0,4.53,LY,1702358272
75,idri,27.5,13.2667,283.92,45,0,3.17,LY,1702358272
76,la calera,-31.3438,-64.3353,296.62,51,0,5.14,AR,1702358273
77,bikenibeu village,1.3673,173.1241,301.89,69,98,1.01,KI,1702358273
78,yellowknife,62.456,-114.3525,248.46,92,75,3.09,CA,1702358273
79,morondava,-20.2833,44.2833,303.68,56,39,1.55,MG,1702358274
80,laojunmiao,39.8333,97.7333,278.96,8,98,3.38,CN,1702358274
81,utrik,11.2278,169.8474,300.3,72,60,8.33,MH,1702358274
82,vorgashor,67.5833,63.95,255.94,95,100,6.72,RU,1702358275
83,olonkinbyen,70.9221,-8.7187,272.91,98,98,2.15,SJ,1702358275
84,rimouski,48.4488,-68.524,271.25,85,100,8.23,CA,1702358126
85,recani,31.2846,-4.2688,286.64,42,91,1.16,MA,1702358275
86,hailin,44.5833,129.4167,260.23,56,4,0.99,CN,1702358276
87,albany,42.6001,-73.9662,273.93,73,64,0.89,US,1702358130
88,yeniseysk,58.4497,92.1703,239.79,97,79,0.89,RU,1702358277
89,iqaluit,63.7506,-68.5145,257.0,78,75,2.06,CA,1702358277
90,walvis bay,-22.9575,14.5053,289.87,90,39,0.64,NA,1702358277
91,kodiak,57.79,-152.4072,267.88,74,0,2.06,US,1702358277
92,lochbuie,40.0072,-104.7161,277.91,83,75,4.12,US,1702358278
93,ola,59.5833,151.2833,267.13,93,100,6.89,RU,1702358278
94,sarkand,45.41,79.9186,259.67,95,100,2.09,KZ,1702358278
95,flin flon,54.7682,-101.865,258.63,76,76,6.15,CA,1702358279
